name,parent,category,a_au,a_km,e,i_deg,w_deg,node_deg,m_deg,period_days,mass_10_24_kg,radius_km,pole_ra_deg,pole_dec_deg,pole_ra_rate_deg_per_cy,pole_dec_rate_deg_per_cy,pm_w_deg,pm_w_rate_deg_per_day,symbol
S2019_S_13,SATURN,MOON,,20964500,0.318,177.3,219.8,302.5,138.5,1133.2653,,,,,,,,,○
S2005_S_4,SATURN,MOON,,11324500,0.315,48,107.1,169.4,247.1,449.925,,,,,,,,,○
S2007_S_7,SATURN,MOON,,15931600,0.217,169.3,149.6,3.8,63.4,750.7958,,,,,,,,,○
S2007_S_8,SATURN,MOON,,17048900,0.49,36.2,258.7,202.2,6.3,831.2111,,,,,,,,,○
S2020_S_7,SATURN,MOON,,17394000,0.5,161.4,298.8,175.7,215.8,856.534,,,,,,,,,○
S2019_S_14,SATURN,MOON,,17852800,0.172,46.2,303.2,149.6,240.9,890.5868,,,,,,,,,○
S2019_S_15,SATURN,MOON,,21191100,0.257,157.8,17.9,22,302.9,1151.6611,,,,,,,,,○
S2005_S_5,SATURN,MOON,,21364900,0.588,169.5,284.6,84.7,9.9,1165.9562,,,,,,,,,○
S2006_S_15,SATURN,MOON,,21799600,0.117,161.1,224.8,12.2,313.6,1201.6924,,,,,,,,,○
S2006_S_16,SATURN,MOON,,21721200,0.204,164.1,282.9,165.4,62.5,1195.1285,,,,,,,,,○
S2006_S_17,SATURN,MOON,,22384200,0.425,168.7,149.4,274.1,206.6,1250.4639,,,,,,,,,○
S2004_S_48,SATURN,MOON,,22137400,0.374,161.9,286.6,194.7,195,1229.8632,,,,,,,,,○
S2020_S_8,SATURN,MOON,,21967200,0.252,161.8,45,41.8,181.2,1215.6063,,,,,,,,,○
S2004_S_49,SATURN,MOON,,22399400,0.453,159.8,199,221.2,19.2,1251.6847,,,,,,,,,○
S2004_S_50,SATURN,MOON,,22345000,0.45,164,197.8,175.9,71.5,1247.1917,,,,,,,,,○
S2006_S_18,SATURN,MOON,,22760600,0.131,169.5,62.5,47.6,14.5,1282.0917,,,,,,,,,○
S2019_S_16,SATURN,MOON,,23265200,0.25,162,280.6,206.7,351.8,1324.9458,,,,,,,,,○
S2019_S_17,SATURN,MOON,,22722700,0.546,155.5,317,125.3,40.5,1278.9618,,,,,,,,,○
S2019_S_18,SATURN,MOON,,23139500,0.509,154.6,304.5,230.6,340.4,1314.2674,,,,,,,,,○
S2019_S_19,SATURN,MOON,,23044400,0.458,151.8,305.8,248.3,335.8,1306.1604,,,,,,,,,○
S2019_S_20,SATURN,MOON,,23677900,0.354,156,198.6,176.6,281.1,1360.4674,,,,,,,,,○
S2006_S_19,SATURN,MOON,,23800500,0.467,175.5,19.2,281.1,195.9,1371.0201,,,,,,,,,○
S2004_S_51,SATURN,MOON,,25207100,0.201,171.2,73.4,293.7,85.1,1494.4076,,,,,,,,,○
S2020_S_9,SATURN,MOON,,25408700,0.531,161.4,171,15,46.4,1512.384,,,,,,,,,○
S2004_S_52,SATURN,MOON,,26446400,0.291,165.4,292.6,204.7,333,1605.8868,,,,,,,,,○
S2007_S_9,SATURN,MOON,,20174600,0.36,159.3,125.3,269.4,240.3,1069.8069,,,,,,,,,○
S2004_S_53,SATURN,MOON,,23279800,0.24,162.6,284.3,215.7,37.3,1326.184,,,,,,,,,○
S2020_S_10,SATURN,MOON,,25315300,0.296,165.6,213.5,243.6,158.8,1503.9681,,,,,,,,,○
S2019_S_21,SATURN,MOON,,26439500,0.155,171.9,16.7,342.8,346.4,1605.2799,,,,,,,,,○
S2006_S_20,SATURN,MOON,,13193700,0.206,173.1,77.4,60.9,153.1,565.7889,,,,,,,,,○
S2004_S_54,SATURN,MOON,,11277500,0.373,48.1,108.4,80.2,69.3,447.141,,,,,,,,,○
S2004_S_55,SATURN,MOON,,11294700,0.26,48.9,80,196.6,59.6,448.1618,,,,,,,,,○
S2004_S_56,SATURN,MOON,,13670200,0.339,161.6,96.4,343.2,165.7,596.6938,,,,,,,,,○
S2004_S_57,SATURN,MOON,,18150500,0.263,167.9,60.9,39.1,202.7,913.0736,,,,,,,,,○
S2004_S_58,SATURN,MOON,,18254500,0.249,45.7,120,284.5,180.1,920.8035,,,,,,,,,○
S2004_S_59,SATURN,MOON,,19170700,0.262,167.3,222.1,125.2,282.6,991.1819,,,,,,,,,○
S2004_S_60,SATURN,MOON,,19517000,0.28,173.8,264.3,321.7,357.6,1018.1285,,,,,,,,,○
S2004_S_61,SATURN,MOON,,20986900,0.466,168.4,40.4,176.4,175.6,1135.0646,,,,,,,,,○
S2005_S_6,SATURN,MOON,,18107300,0.084,47.7,77.4,166.5,163.4,909.5785,,,,,,,,,○
S2005_S_7,SATURN,MOON,,18502500,0.565,34.6,132.7,269.8,181.1,939.7451,,,,,,,,,○
S2006_S_21,SATURN,MOON,,14976500,0.204,169.8,157.4,328.3,40.7,684.2764,,,,,,,,,○
S2006_S_22,SATURN,MOON,,15109500,0.246,172,71.7,231.1,254.1,693.4146,,,,,,,,,○
S2006_S_23,SATURN,MOON,,18269700,0.19,43.8,72.5,257.1,309.9,921.8632,,,,,,,,,○
S2006_S_24,SATURN,MOON,,18210700,0.352,165.9,39.8,204.8,10.3,917.559,,,,,,,,,○
S2006_S_25,SATURN,MOON,,18572400,0.303,158.8,130.1,277.4,348.5,945.0681,,,,,,,,,○
S2006_S_26,SATURN,MOON,,18619300,0.248,171.9,2.5,147.8,201,948.6722,,,,,,,,,○
S2006_S_27,SATURN,MOON,,19205700,0.14,170.5,91.6,3.7,6.1,993.7889,,,,,,,,,○
S2006_S_28,SATURN,MOON,,21955100,0.21,172.9,242.2,152.8,98.4,1214.5257,,,,,,,,,○
S2006_S_29,SATURN,MOON,,25212100,0.239,156.2,301.4,82.4,101.5,1494.7833,,,,,,,,,○
S2007_S_10,SATURN,MOON,,11364900,0.367,45.8,94.2,287.1,23.6,452.3576,,,,,,,,,○
S2007_S_11,SATURN,MOON,,17434400,0.499,35.5,348.9,53.9,233.9,859.5264,,,,,,,,,○
S2019_S_22,SATURN,MOON,,11305100,0.369,47.3,100.5,21.1,223,448.775,,,,,,,,,○
S2019_S_23,SATURN,MOON,,11310200,0.255,48.7,81.5,356.3,1,449.0806,,,,,,,,,○
S2019_S_24,SATURN,MOON,,11360500,0.345,46.7,74.7,205.3,79.3,452.0743,,,,,,,,,○
S2019_S_25,SATURN,MOON,,11329400,0.271,48.1,73.9,213.7,358.9,450.2181,,,,,,,,,○
S2019_S_26,SATURN,MOON,,11390900,0.365,48.1,111.3,119.7,164.1,453.8882,,,,,,,,,○
S2019_S_27,SATURN,MOON,,16267000,0.42,162.1,97.2,115.1,152.1,774.6333,,,,,,,,,○
S2019_S_28,SATURN,MOON,,17496000,0.199,158.4,95.6,268.3,307.9,864.0938,,,,,,,,,○
S2019_S_29,SATURN,MOON,,17353900,0.441,37.7,332.7,306.9,133.8,853.6229,,,,,,,,,○
S2019_S_30,SATURN,MOON,,17709900,0.107,168.3,5.3,356.8,187.8,879.9708,,,,,,,,,○
S2019_S_31,SATURN,MOON,,17739100,0.488,39.8,37.8,173.7,35.2,882.241,,,,,,,,,○
S2019_S_32,SATURN,MOON,,17960500,0.276,46.2,281.4,218.1,20.1,898.7083,,,,,,,,,○
S2019_S_33,SATURN,MOON,,18696100,0.289,170.4,46.9,186.4,245.6,954.534,,,,,,,,,○
S2019_S_34,SATURN,MOON,,18446800,0.536,37.6,226.7,169.4,78.5,935.4472,,,,,,,,,○
S2019_S_35,SATURN,MOON,,18557800,0.577,157.3,181.1,63.3,259,943.9993,,,,,,,,,○
S2019_S_36,SATURN,MOON,,19903200,0.161,166.9,278.1,353.4,145.8,1048.4188,,,,,,,,,○
S2019_S_37,SATURN,MOON,,19996900,0.404,149.9,355.3,273.4,135.8,1055.7771,,,,,,,,,○
S2019_S_38,SATURN,MOON,,21998400,0.399,163,303.7,216.6,138.3,1218.2743,,,,,,,,,○
S2019_S_39,SATURN,MOON,,23784500,0.098,174.5,327,273.1,92.5,1369.6437,,,,,,,,,○
S2019_S_40,SATURN,MOON,,24087800,0.088,161.8,242.4,44.4,347.6,1395.8771,,,,,,,,,○
S2019_S_41,SATURN,MOON,,24493600,0.257,157.1,40,11.4,320.7,1431.2979,,,,,,,,,○
S2019_S_42,SATURN,MOON,,24111600,0.121,163.2,84.5,318.2,351.4,1397.975,,,,,,,,,○
S2019_S_43,SATURN,MOON,,26664100,0.277,165.3,108.2,116,306.2,1625.9,,,,,,,,,○
S2019_S_44,SATURN,MOON,,26796900,0.512,172.6,332.7,223,330.6,1638.1104,,,,,,,,,○
S2020_S_11,SATURN,MOON,,11295600,0.372,48.2,110.4,94.2,95.9,448.2111,,,,,,,,,○
S2020_S_12,SATURN,MOON,,11314500,0.26,50.8,81.2,70.5,350.8,449.3271,,,,,,,,,○
S2020_S_13,SATURN,MOON,,11415600,0.373,48,96.4,41.6,230.4,455.3875,,,,,,,,,○
S2020_S_14,SATURN,MOON,,16186200,0.313,161.7,54.7,355.4,209.3,768.8625,,,,,,,,,○
S2020_S_15,SATURN,MOON,,16729200,0.462,37.1,275.8,338.2,141.7,807.8243,,,,,,,,,○
S2020_S_16,SATURN,MOON,,16963400,0.405,167.3,73.1,268.6,185.2,824.9229,,,,,,,,,○
S2020_S_17,SATURN,MOON,,17094200,0.378,148.9,287.2,210.9,359,834.4472,,,,,,,,,○
S2020_S_18,SATURN,MOON,,17777900,0.18,168.9,165.9,204,218.7,885.1153,,,,,,,,,○
S2020_S_19,SATURN,MOON,,17726700,0.159,48.1,65.5,56.1,80.4,881.0431,,,,,,,,,○
S2020_S_20,SATURN,MOON,,17997300,0.133,169.8,230.5,92.9,330,901.525,,,,,,,,,○
S2020_S_21,SATURN,MOON,,18862100,0.307,169.9,188,328.3,95.5,967.2604,,,,,,,,,○
S2020_S_22,SATURN,MOON,,19443000,0.059,161.3,38.4,271.4,128.8,1012.241,,,,,,,,,○
S2020_S_23,SATURN,MOON,,19801500,0.089,165,61.5,153.6,65.1,1040.3757,,,,,,,,,○
S2020_S_24,SATURN,MOON,,20618300,0.23,159.6,114.8,42.2,301.4,1105.4083,,,,,,,,,○
S2020_S_25,SATURN,MOON,,20763700,0.316,171.8,329,242.2,318.1,1117.0889,,,,,,,,,○
S2020_S_26,SATURN,MOON,,21264400,0.273,163.2,143,252.9,141.3,1157.766,,,,,,,,,○
S2020_S_27,SATURN,MOON,,21802300,0.255,145.3,314.6,324.5,32,1202.016,,,,,,,,,○
S2020_S_28,SATURN,MOON,,21993700,0.474,160.1,226.7,60.9,2.2,1217.8104,,,,,,,,,○
S2020_S_29,SATURN,MOON,,22301400,0.047,169.1,298.7,255.9,115.9,1243.4493,,,,,,,,,○
S2020_S_30,SATURN,MOON,,21790700,0.601,154.2,352.3,132.1,60.3,1201.0187,,,,,,,,,○
S2020_S_31,SATURN,MOON,,22457300,0.238,163.8,196.2,148.1,0.1,1256.5035,,,,,,,,,○
S2020_S_32,SATURN,MOON,,21884100,0.502,169.1,198.2,351.6,88.9,1208.8486,,,,,,,,,○
S2020_S_33,SATURN,MOON,,22922500,0.555,162.8,4.3,161.7,165.2,1295.85,,,,,,,,,○
S2020_S_34,SATURN,MOON,,22435600,0.154,160.6,162.8,7.7,116.4,1254.6069,,,,,,,,,○
S2020_S_35,SATURN,MOON,,23030300,0.225,174.9,19.8,344.7,98,1304.9653,,,,,,,,,○
S2020_S_36,SATURN,MOON,,22806200,0.336,168.8,139.7,26.9,216.1,1286.0292,,,,,,,,,○
S2020_S_37,SATURN,MOON,,23751800,0.344,174.8,211.7,25.1,182.3,1366.8215,,,,,,,,,○
S2020_S_38,SATURN,MOON,,23583900,0.513,159.7,246.3,284,99.4,1352.4347,,,,,,,,,○
S2020_S_39,SATURN,MOON,,24262400,0.305,160.1,28.9,318.8,165.2,1411.1451,,,,,,,,,○
S2020_S_40,SATURN,MOON,,23785900,0.412,167.3,99.4,250.5,64,1369.7562,,,,,,,,,○
S2020_S_41,SATURN,MOON,,25876400,0.402,160.2,224.9,28.3,63.1,1554.3993,,,,,,,,,○
S2020_S_42,SATURN,MOON,,25329400,0.506,157.5,59.1,15.4,278.4,1505.3118,,,,,,,,,○
S2020_S_43,SATURN,MOON,,26657400,0.203,164.6,257,68.7,252.6,1625.2931,,,,,,,,,○
S2020_S_44,SATURN,MOON,,27259400,0.199,168.5,283.8,28,318,1680.641,,,,,,,,,○
S2023_S_1,SATURN,MOON,,11205400,0.386,48.8,296.8,159.6,263.4,442.8632,,,,,,,,,○
S2023_S_2,SATURN,MOON,,11309900,0.339,45.7,117.3,253.8,257.2,449.0535,,,,,,,,,○
S2023_S_3,SATURN,MOON,,17646400,0.178,46.9,264,93.7,272.6,875.0007,,,,,,,,,○
S2023_S_4,SATURN,MOON,,17764600,0.276,170,9.5,264.4,123.9,884.1111,,,,,,,,,○
S2023_S_5,SATURN,MOON,,25583500,0.599,168.8,94.9,235,334.2,1528.0368,,,,,,,,,○
S2023_S_6,SATURN,MOON,,11953100,0.336,47.4,103.7,54.4,133.4,487.909,,,,,,,,,○
S2023_S_7,SATURN,MOON,,12133700,0.284,44.7,102.5,289.7,102.3,499.0097,,,,,,,,,○
S2023_S_8,SATURN,MOON,,14018800,0.122,166.9,278.8,240.1,149.6,619.691,,,,,,,,,○
S2023_S_9,SATURN,MOON,,13167500,0.141,172.2,209.8,324.8,285.2,564.1139,,,,,,,,,○
S2023_S_10,SATURN,MOON,,15500200,0.302,163,124.7,308.1,70.9,720.4931,,,,,,,,,○
S2023_S_11,SATURN,MOON,,14046100,0.3,170.9,76.1,193,334.2,621.4931,,,,,,,,,○
S2023_S_12,SATURN,MOON,,15805900,0.601,168.8,182.5,301,339.7,741.9167,,,,,,,,,○
S2023_S_13,SATURN,MOON,,15193000,0.179,168.5,107.5,134.2,173.9,699.1799,,,,,,,,,○
S2023_S_14,SATURN,MOON,,16853000,0.497,171.6,351.4,291.7,62.7,816.8618,,,,,,,,,○
S2023_S_15,SATURN,MOON,,18241300,0.549,161.9,123.2,276.6,159.7,919.9347,,,,,,,,,○
S2023_S_16,SATURN,MOON,,17005300,0.27,162.6,116.9,270.6,80,827.9111,,,,,,,,,○
S2023_S_17,SATURN,MOON,,17385300,0.498,35.9,246.7,240.7,128.1,855.9354,,,,,,,,,○
S2023_S_18,SATURN,MOON,,17381700,0.448,36.7,280,78.1,169.7,855.6535,,,,,,,,,○
S2023_S_19,SATURN,MOON,,17590300,0.092,48.2,205.4,50.1,325.5,870.9229,,,,,,,,,○
S2023_S_20,SATURN,MOON,,17261000,0.442,136.5,322.1,112.7,200.6,846.7653,,,,,,,,,○
S2023_S_21,SATURN,MOON,,17755400,0.077,157.3,341.9,124.2,38.7,883.3083,,,,,,,,,○
S2023_S_22,SATURN,MOON,,18577500,0.182,47.5,266.5,121.8,4.2,945.3701,,,,,,,,,○
S2023_S_23,SATURN,MOON,,18783700,0.35,164.8,91.2,187,81.8,961.2236,,,,,,,,,○
S2023_S_24,SATURN,MOON,,18351800,0.374,169.7,319.7,1.4,54.4,928.2451,,,,,,,,,○
S2023_S_25,SATURN,MOON,,19136600,0.281,166.4,293.8,216.6,186.2,988.5278,,,,,,,,,○
S2023_S_26,SATURN,MOON,,19894300,0.306,163.9,108.2,147.4,132.2,1047.7618,,,,,,,,,○
S2023_S_27,SATURN,MOON,,19820100,0.652,151.1,117,306.6,91.2,1041.8521,,,,,,,,,○
S2023_S_28,SATURN,MOON,,19881000,0.575,168.7,2.3,59.6,189.6,1046.5556,,,,,,,,,○
S2023_S_29,SATURN,MOON,,20042400,0.141,172.2,47,227.4,162.8,1059.4208,,,,,,,,,○
S2023_S_30,SATURN,MOON,,18238300,0.493,142.4,191.3,250,2.7,919.7139,,,,,,,,,○
S2023_S_31,SATURN,MOON,,20729200,0.182,163,240.9,261.1,308.7,1114.2889,,,,,,,,,○
S2023_S_32,SATURN,MOON,,20454400,0.037,169.8,90.3,195.2,30,1092.2417,,,,,,,,,○
S2023_S_33,SATURN,MOON,,21621900,0.665,155.8,258.6,209.3,49.1,1187.0667,,,,,,,,,○
S2023_S_34,SATURN,MOON,,20803900,0.57,168.4,275.5,303,293.6,1120.3833,,,,,,,,,○
S2023_S_35,SATURN,MOON,,22269700,0.151,168.5,165.5,340.9,92.9,1240.7618,,,,,,,,,○
S2023_S_36,SATURN,MOON,,22230600,0.359,166.3,157,325.1,312.2,1237.6104,,,,,,,,,○
S2023_S_37,SATURN,MOON,,19889800,0.215,172.3,241.2,63.4,244.7,1047.3903,,,,,,,,,○
S2023_S_38,SATURN,MOON,,12823500,0.909,149.2,241.2,63.4,244.7,546.3146,,,,,,,,,○
S2023_S_39,SATURN,MOON,,20824500,0.124,164.8,351.9,118.3,345.1,1121.9938,,,,,,,,,○
S2023_S_40,SATURN,MOON,,21065100,0.342,169.6,334.7,271.4,3.6,1141.4813,,,,,,,,,○
S2023_S_41,SATURN,MOON,,21286400,0.279,172.1,323,7.2,29.1,1159.516,,,,,,,,,○
S2023_S_42,SATURN,MOON,,21837000,0.059,166.7,33.2,355.1,315.9,1204.8146,,,,,,,,,○
S2023_S_43,SATURN,MOON,,22563900,0.264,170.3,218,247.3,92.7,1265.5667,,,,,,,,,○
S2023_S_44,SATURN,MOON,,19292400,0.434,167.4,166.3,179.9,232.9,1000.4722,,,,,,,,,○
S2023_S_45,SATURN,MOON,,23438400,0.633,157.4,334.1,102.2,336.8,1339.8472,,,,,,,,,○
S2023_S_46,SATURN,MOON,,24708900,0.336,143.2,100.4,306.8,230,1450.2715,,,,,,,,,○
S2023_S_47,SATURN,MOON,,25102300,0.101,162.5,257.3,208.4,97.5,1485.0417,,,,,,,,,○
S2023_S_48,SATURN,MOON,,20029200,0.022,169.7,108.2,338.7,315.6,1058.3493,,,,,,,,,○
S2023_S_49,SATURN,MOON,,21766500,0.026,171.7,110.7,193.8,82.5,1198.9896,,,,,,,,,○
S2023_S_50,SATURN,MOON,,11656500,0.263,166.1,326.3,29,79.8,469.8201,,,,,,,,,○
S2020_S_45,SATURN,MOON,,23507700,0.199,172.8,195.7,183.1,190.2,1345.7917,,,,,,,,,○
S2020_S_46,SATURN,MOON,,18892100,0.207,167.3,331.2,323.4,16,969.5965,,,,,,,,,○
S2020_S_47,SATURN,MOON,,21397400,0.564,146.1,5.4,351.6,283.9,1168.5778,,,,,,,,,○
S2020_S_48,SATURN,MOON,,11355100,0.373,45.9,114.9,253.5,21.9,451.7528,,,,,,,,,○
S2023_S_51,SATURN,MOON,,23431500,0.191,163.3,303.4,213.5,310.9,1339.2104,,,,,,,,,○
S2023_S_52,SATURN,MOON,,22528000,0.124,146.2,88.7,42.8,267.3,1262.3438,,,,,,,,,○
S2023_S_53,SATURN,MOON,,17181100,0.103,171.2,55,314.6,179,840.8181,,,,,,,,,○
S2023_S_54,SATURN,MOON,,17485100,0.48,37.8,60.4,120.8,48.2,863.3486,,,,,,,,,○
S2023_S_55,SATURN,MOON,,16875100,0.491,35.9,60.8,191.1,68.8,818.5125,,,,,,,,,○
S2023_S_56,SATURN,MOON,,11287500,0.358,45.4,89.8,271,341.9,447.7458,,,,,,,,,○
S2023_S_57,SATURN,MOON,,20536100,0.245,168,183.5,86.3,318,1098.8285,,,,,,,,,○
S2020_S_49,SATURN,MOON,,11305900,0.373,48,98.2,121.9,313.4,448.8382,,,,,,,,,○
S2023_S_58,SATURN,MOON,,17206000,0.093,169.6,70.6,119.3,175.6,842.6812,,,,,,,,,○
S2023_S_59,SATURN,MOON,,20064000,0.467,169.5,10.5,337.9,66.5,1061.041,,,,,,,,,○
S2023_S_60,SATURN,MOON,,17493700,0.206,170.7,258.1,81.3,93.9,863.9632,,,,,,,,,○
S2023_S_61,SATURN,MOON,,18067700,0.557,158,37.7,303.7,75.3,906.8486,,,,,,,,,○
S2023_S_62,SATURN,MOON,,14025900,0.467,155.6,206.6,355.8,241.3,620.1486,,,,,,,,,○
S2023_S_63,SATURN,MOON,,18482600,0.266,165,299.9,101.8,225.6,938.2549,,,,,,,,,○
ARIEL,URANUS,MOON,,190929,0.001,0,9.6,0,193.5,2.520379,,578.9,257.43,-15.1,0,0,156.22,-142.8356681,○
UMBRIEL,URANUS,MOON,,265986,0.004,0.1,183.4,174.8,253,4.144177,,584.7,257.43,-15.1,0,0,108.05,-86.8688923,○
TITANIA,URANUS,MOON,,436298,0.002,0.1,184,29.5,68.1,8.705869,,788.9,257.43,-15.1,0,0,77.74,-41.3514316,○
OBERON,URANUS,MOON,,583511,0.002,0.1,132.2,76.8,143.6,13.463237,,761.4,257.43,-15.1,0,0,6.77,-26.7394932,○
MIRANDA,URANUS,MOON,,129846,0.001,4.4,154.8,100.9,73,1.413479,,235.8,257.43,-15.08,0,0,30.7,-254.6906892,○
PUCK,URANUS,MOON,,86004,0,0.3,0,216.1,50.1,0.761833,,,257.31,-15.18,0,0,91.24,-472.545069,○
CORDELIA,URANUS,MOON,,49755,0,0.2,0,1.1,287.4,0.3347,,,257.31,-15.18,0,0,127.69,-1074.520573,○
OPHELIA,URANUS,MOON,,53765,0.011,0.2,19.3,151.6,213.4,0.3764,,,257.31,-15.18,0,0,130.35,-956.406815,○
BIANCA,URANUS,MOON,,59170,0.006,2.3,328,272.5,109.1,0.4347,,,257.31,-15.18,0,0,105.46,-828.391476,○
CRESSIDA,URANUS,MOON,,61770,0.004,1.8,87.9,308.2,0.5,0.4639,,,257.31,-15.18,0,0,59.16,-776.581632,○
DESDEMONA,URANUS,MOON,,62663,0.007,3.1,137,283.9,230,0.4736,,,257.31,-15.18,0,0,95.08,-760.053169,○
JULIET,URANUS,MOON,,64362,0.006,3,274.9,141,319.8,0.4931,,,257.31,-15.18,0,0,302.56,-730.125366,○
PORTIA,URANUS,MOON,,66101,0.004,2.7,31.6,146.7,310.1,0.5132,,,257.31,-15.18,0,0,25.03,-701.486587,○
ROSALIND,URANUS,MOON,,69930,0.003,1.7,231.8,330,287.7,0.5583,,,257.31,-15.18,0,0,314.9,-644.631126,○
BELINDA,URANUS,MOON,,75258,0.002,1.4,58.6,96.2,226.4,0.6236,,,257.31,-15.18,0,0,297.46,-577.362817,○
PUCK,URANUS,MOON,,86007,0.009,1.1,337,111.2,264.1,0.7618,,,257.31,-15.18,0,0,91.24,-472.545069,○
PERDITA,URANUS,MOON,,76418,0.005,1.6,296.9,270.4,168,0.6382,,,,,,,,,○
MAB,URANUS,MOON,,97737,0.006,1.8,318.6,307.8,250.8,0.9229,,,,,,,,,○
CUPID,URANUS,MOON,,74396,0.007,2,168,31.1,3.3,0.6125,,,,,,,,,○
S2025_U_1,URANUS,MOON,,57844,0.039,4,313.9,70.8,275.6,0.4201,,,,,,,,,○
CALIBAN,URANUS,MOON,,7167000,0.2,141.4,349.7,174.9,241.2,580,,,,,,,,,○
SYCORAX,URANUS,MOON,,12193200,0.52,157,25.4,267.1,332.1,1286,,,,,,,,,○
PROSPERO,URANUS,MOON,,16221000,0.441,149.4,180.4,324.5,197.6,1974,,,,,,,,,○
SETEBOS,URANUS,MOON,,17519800,0.579,153.9,356.1,244.7,148,2215,,,,,,,,,○
STEPHANO,URANUS,MOON,,7951400,0.235,143.6,17.1,193.3,164.4,677,,,,,,,,,○
TRINCULO,URANUS,MOON,,8502600,0.22,167.1,162.2,196.5,55.6,749,,,,,,,,,○
FRANCISCO,URANUS,MOON,,4275700,0.144,146.8,137.6,101.9,288.4,267,,,,,,,,,○
MARGARET,URANUS,MOON,,14425000,0.642,60.5,90.7,0.9,115.9,1655,,,,,,,,,○
FERDINAND,URANUS,MOON,,20421400,0.395,169.2,166.9,223.9,172.3,2788,,,,,,,,,○
S2023_U1,URANUS,MOON,,7976600,0.25,143.9,158.7,260.2,101.8,681,,,,,,,,,○
TRITON,NEPTUNE,MOON,,354800,0,157.3,0,178.1,63,5.876994,,1352.6,299.36,41.17,0,0,296.53,-61.2572637,○
NAIAD,NEPTUNE,MOON,,48200,0,4.7,0,41.4,89.7,0.29398,,29,299.36,43.36,0,0,254.06,1222.8441209,○
THALASSA,NEPTUNE,MOON,,50100,0,0.2,0,130.6,165.7,0.311078,,40,299.36,43.45,0,0,102.06,1155.7555612,○
DESPINA,NEPTUNE,MOON,,52500,0,0,0,0,125.1,0.334656,,74,299.36,43.45,0,0,306.51,1075.7341562,○
GALATEA,NEPTUNE,MOON,,62000,0,0,0,0,86.7,0.428744,,79,299.36,43.43,0,0,258.09,839.6597686,○
LARISSA,NEPTUNE,MOON,,73500,0.001,0.2,247.3,312,165.5,0.554989,,96,299.36,43.41,0,0,179.41,649.053447,○
PROTEUS,NEPTUNE,MOON,,117600,0,0,0,0,276.8,1.122315,,208,299.27,42.91,0,0,93.38,320.7654228,○
HIPPOCAMP,NEPTUNE,MOON,,105300,0.001,0.3,346.4,0.5,286.5,0.95039,,,,,,,,,○
NEREID,NEPTUNE,MOON,,5513900,0.751,5.1,296.8,319.5,318.5,360.133039,,170,,,,,,,○
HALIMEDE,NEPTUNE,MOON,,16590500,0.521,119.6,157.9,198.5,135.8,1879,,,,,,,,,○
PSAMATHE,NEPTUNE,MOON,,47646600,0.413,127.8,148.2,302.9,183.2,9149,,,,,,,,,○
SAO,NEPTUNE,MOON,,22239900,0.296,50.2,93.5,41.8,178.5,2919,,,,,,,,,○
LAOMEDEIA,NEPTUNE,MOON,,23499900,0.419,36.9,146.2,57.6,248.1,3168,,,,,,,,,○
NESO,NEPTUNE,MOON,,49897800,0.455,128.4,89.8,55.4,13.8,9805,,,,,,,,,○
S2002_N5,NEPTUNE,MOON,,23414700,0.433,46.3,59.1,258.3,303.2,3151,,,,,,,,,○
S2021_N1,NEPTUNE,MOON,,50700200,0.503,135.2,90.4,258.9,237.1,10043,,,,,,,,,○
CHARON,PLUTO,MOON,,19600,0,0,0,0,304.1,6.387222,,606,132.993,-6.163,0,0,122.695,56.3625225,○
STYX,PLUTO,MOON,,43200,0.025,0,322.5,0,358.1,20.16,,5.2,,,,,,,○
NIX,PLUTO,MOON,,49300,0.015,0,31.4,0,338.2,24.85,,18,,,,,,,○
KERBEROS,PLUTO,MOON,,58300,0.01,0.4,32.1,314.3,276.1,32.17,,6,,,,,,,○
HYDRA,PLUTO,MOON,,65200,0.009,0.3,139.3,114.3,335,38.2,,18.5,,,,,,,○
